job_title,company_name,location,job_description
"Electrical apprentice- 1st/2nd year- friendly team, variety of job types",Sydney Electrical & Data,Marrickville NSW 2204,Are you looking for an electrical apprenticeship? Apply for 1st year or 2nd year positions with our company based in Marrickville. This is an exciting opportunity to join a well-established and highly-capable electrical contracting company based in Sydney’s Inner West and primarily servicing the Sydney CBD; Eastern Suburbs and Inner West with a wide variety of work. Sydney Electrical & Data provides electrical; data; security and fire solutions for a wide range of commercial and industrial customers. Our jobs include installation; fitouts; repairs and maintenance; new builds and projects Sydney wide. The successful applicants would: Be proactive and keen to learn Good at working with others and taking instruction Be focused on workplace safety; quality and customer service If you want to do your apprenticeship somewhere that: -Has a variety of jobs -Will commit to giving you diverse and quality training -Has a friendly team -Offers competitive ongoing employment after you are licenced then this is the job for you! Job Type: Full-time Application Deadline: 31/03/2021 Expected Start Date: 29/03/2021 Job Type: Apprenticeship Salary: $14.00 – $24.00 per hour Schedule: 10 hour shift 8 hour shift Licence: White Card (Preferred) Australian driver's licence (Preferred) Work Remotely: No COVID-19 Precaution(s): Social distancing guidelines in place Sanitising; disinfecting or cleaning procedures in place
1st year electrical apprentice,Attwood Electrical T/A O'Brien Electrical North...,Sydney NSW,Attwood Electrical TA O'Brien Electrical North Wollongong has an opportunity for a full time 1st Year Apprentice from the Inner-west; Bankstown or Parramatta areas to join our dynamic; fast growing; friendly team. - Enjoy job security with a successful; professional business - Using the latest technology in job systems; no paperwork! - Join a great team that are keen to learn and grow - Great opportunities to utilise your customer service skills and progress your career We work in the residential and commercial areas. We have a wide variety of work and are currently looking for a new team member to help us give our customers first class service. The successful applicant will be a person that possesses the following skills and attributes: - Strong customer service skills - Displays strong communication skills to ensure customers needs are fulfilled with the highest level of service - Able to follow instructions from supervising electrician and work in a timely manner - Can be relied on to be at work on time and work overtime and weekends when required - Have a tidy appearance and take pride in what you look like The applicant will need to hold the following: - Current Drivers Licence. - Covid vaccination proof certificate - OH&S Induction Training (white card) - Flu Shot - Police Check Job Type: Apprenticeship Salary: $20;000.00 – $30;000.00 per year Schedule: 8 hour shift Monday to Friday On call Overtime Weekend availability Supplemental pay types: Overtime pay Penalty rates COVID-19 considerations: We provide staff with disinfectant wipes; masks; sanitiser; glen 20 and take all precautions to be covid safe Licence/Certification: White Card (Preferred) Australian driver's licence (Required)
Apprentices - Electrical/Instrumentation,Nyrstar,Australia,Job Posting Date: 23-Nov-2022 Location: AU Are you looking to start or build your career in a hands-on industrial electrical maintainer role? We are looking for enthusiastic people who are keen to take the next step and become qualified electricians.  At Nyrstar we support our people to grow; learn and develop skills to reach their full potential. We believe our people are our greatest asset and that our success as a business is a reflection of the quality and capability of our people.  Nyrstar is a global multi-metals business; with a market leading position in zinc and lead and growing positions in other base and precious metals. Nyrstar has mining; smelting and other operations located in Europe; the Americas and Australia and employs over 4;000 people. Nyrstar is committed to creating a healthy and safe work environment and building a culture that inspires their employees to work respectfully together as a team.  About the Apprenticeship As an apprentice at Nyrstar you will be exposed to a wide range of maintenance tasks within an industrial processing plant. The 5 year program will give you the opportunity to acquire valuable skills and a formal qualification; all while being paid a generous salary and the opportunity to learn from skilled tradespeople.  The role of an Electrical/Instrumentation maintainer is extremely diverse; with no two days the same. Working within one of our maintenance teams you will support our operational areas by being involved in: Preventative maintenance; Commissioning of new equipment/plant; Electrical installation; Repairs and troubleshooting. Exposure to PLCs; High Voltage; Instrumentation  About you To be successful in the role; you will have: Ideally have undertaken a pre-vocational course; A real interest in problem solving and an inquisitive mind; Reliable; trustworthy and punctual Keen; motivated and willing to learn Have a genuine desire to build a long-term career.  Commencing early 2023; these apprenticeships offer a unique opportunity to develop a diverse range of skills and gain a nationally recognised qualification. Our hope is that these opportunities will provide entry into rewarding long-term careers for the right people  Nyrstar Hobart has a strict RPE ‘Clean Shave’ Policy. Most facial hair is not permitted on site. Occupational health screening; including blood tests; is part of our commitment to keeping our workforce safe and a condition of employment  We look forward hearing from you.
Dual Electrical - Powerline Apprentice 2023 Intake,electrogroup,New South Wales,Earn while you learn Work with a leading employer in the electrotechnology industry Be surrounded by a team of experienced industry professionals About us electrogroup is a leading Apprenticeship and Training company providing employment for Apprentices and Trainees within the electrotechnology industry. We aim to continually exceed the needs and expectations of our Apprentices and Host Employers through the provision of quality training and employment opportunities. About the role Earn as you learn a fascinating trade in a dynamic industry; where your career opportunities are only limited by your willingness to learn. electrogroup apprentices both Female and Male are highly sought after for the most interesting and challenging projects. About you Do you want a career with a Bright Future? Do you want the experiences that help you succeed? Do you have Enthusiasm; a strong work ethic and a willingness to learn and work? Do you want to be at the forefront of developing new technologies? Have you completed your HSC? If you answered Yes; then apply now for an 2023 Dual Electrical - Powerline Apprenticeship. How to apply Click on the APPLY button; include a Cover Letter and your Resume and quote Job Reference egt-Dual2023. Applications close 9 December 2022. www.egt.com.au and follow us on Facebook electrogroup is an equal employment opportunity employer. Job Types: Full-time; Apprenticeship Salary: From $20.00 per hour Benefits: Travel reimbursement Schedule: 8 hour shift Supplemental pay types: Overtime pay Ability to commute/relocate: New South Wales: Reliably commute or planning to relocate before starting work (Preferred) Work Authorisation: Australia (Required)
1st/2nd year Electrical Apprentice,Faultless Electrical pty ltd,Yagoona NSW 2199,Faultless Electrical is a fully licensed electrical company based in Sydney offering a wide range of services; for jobs of any size throughout the whole of NSW. We pride ourselves on providing top quality work and unique precision craftsmanship. We have a high attention to detail; and are experts in fault finding all while providing top quality service in a timely manner. We specialise in Solar installations but also do many other types of Residentual electrical work including but not limited to; Audio systems; smart home systems; alarm systems; camera systems and much more. We are looking for a First/second year Apprentice to join our team Requirements: - Drivers License - White Card - Not scared of heights - Good work ethic - Punctual - Keen to learn Job Type: Full-time Salary: $40;000.00 – $90;000.00 per year Benefits: Employee discount Employee mentoring program Travel reimbursement Schedule: 8 hour shift Supplemental pay types: Overtime pay Performance bonus
Electrical Apprentice - Australia Based,CJK Electrical,Sydney NSW,Due to extensive growth well-established private company with a great vibe seeking electrical apprentices to join our team at CJK Electrical. Roles - The Electrician Apprentice’s central task is to assist the Electrician. This may involve doing basic tasks such as handling the tools; and it may also involve working independently from the Electrician at times on electrical tasks that require less skill or experience. As the Electrical Apprentice progresses; he will be given more independence in completing tasks. The Electrician Apprentice assists with and completes maintenance work orders on electrical equipment. This includes testing malfunctioning equipment; identifying defects; troubleshooting; repairing equipment and replacing defective parts. The Electrician Apprentice and Electrician will collaborate with other electrical staff to identify and solve problems. The Electrician Apprentice is in a position that is partly educational training to become an Electrician. Therefore; he is responsible for learning all procedures for installing and maintaining electrical systems as well as local and federal regulations and safety requirements. Hourly rate of pay will be per year experience as an apprentice per the award. Job Type: Full-time Salary: From $25.00 per hour Schedule: Monday to Friday Licence/Certification: White Card (Preferred) Driver Licence (Preferred) Work Authorisation: Australia (Required)
Urgently Hiring Apprentice Electrician,Skill Eletrical,Sydney Central Business District NSW,Urgently Hiring Apprentice Electrician We are currently recruiting for an Apprentice Electrician to join our Company; we are Sydney and Metro based; growing fast and with great opportunities for you to train and become a responsible Electrician with our team. We are looking for a reliable; dedicated; and responsible person to become a valid crew member; someone who will go that extra mile and take pride in your work! If this sounds like you then don’t hesitate to apply! About us We are a Commercial Electrical Company and growing fast! Looking to expand our experienced crew of Licensed Electricians for full time work. Our work includes Commercial Fit Outs; Office and Retail; Mezzanine and Warehouse Lighting alongside some of the top Builders in Sydney and metro areas. Experience qualifications and licenses you will gain Be a competent Licensed Electrician in Cat6 cabling Gain experience in Commercial Office Fit-Out Complete your NSW Electrical Licence What you get: The opportunity to work with a growing company with highly skilled leadership To work with a welcoming fully licensed crew Award set hourly rate PLUS paid overtime Superannuation Opportunity to establish your career Ongoing support from management and crew Safety conscious work processes What you will bring White Card essential Reliability Responsible attitude Willingness to learn Renumeration We are an equal opportunity employer who treats all employees fairly. When benchmarked against industry standards our employees are constantly paid above award rate. Only successful applicants will be contacted Job Types: Apprenticeship; Full-time Salary: $50;000.00 – $90;630.00 per year Schedule: 8 hour shift Day shift Monday to Friday Overtime Supplemental pay types: Christmas bonus Commission Overtime pay Licence/Certification: White Card (Preferred)
APPRENTICE ELECTRONICS / ELECTRICAL,PackWeigh Electrical,Strathfield NSW,About us PackWeigh Electrical www.PackWeighElectrical.com.au First or Second year Electrrical/Electronic Apprentice for industrial maintenance and install work. Looking for somebody keen and plenty of initiative. Will accept mature age if correct person. Must have own vehicle and driver’s license. Preferably manual. PackWeigh Electrical provided the following inclusive hiring information: We are an equal opportunity employer and considers all qualified applicants equally without regard to race; color; religion; sex; sexual orientation; gender identity; national origin; veteran status; or disability status. Job Type: Full-time Salary: $650.00 per week Schedule: 8 hour shift Supplemental pay types: Overtime pay Penalty rates Ability to commute/relocate: Strathfield NSW: Reliably commute or planning to relocate before starting work (Required) Licence/Certification: White Card (Preferred) Driver Licence (Required) Work Authorisation: Australia (Required)
Solar Installer and/or electrical apprentice,Evolution Solar and Electrical,Lane Cove NSW,Join a fun and energetic team working in a rapidly growing and in demand industry! Residential and small commercial solar and battery installs. High hourly rate with bonus incentives. You'll be joining a team that delivers quality solar installations for our clients across the Sydney metro area; most work is on the Lower North Shore; Inner West and the Northern Beaches. Working at Heights and White Card desirable - can be organised for the right candidate. Electrical apprentices wanting to work in the renewable energy sector are encouraged to apply - high demand industry. Job Types: Full-time; Apprenticeship Salary: $30.00 – $40.00 per hour Benefits: Employee mentoring program Schedule: 8 hour shift Flexible hours Monday to Friday Overtime Supplemental pay types: Bonus Overtime pay Performance bonus Ability to commute/relocate: Lane Cove NSW: Reliably commute or planning to relocate before starting work (Preferred) Work Authorisation: Australia (Preferred) Expected Start Date: 10/10/2022
Solar Roofer- Apprentices / CEC / Sales person,PTE Solar & Electrical Pty Ltd,Parramatta NSW,With over 6 years industry experience; PTE Solar & Electrical is now looking for a solar roofer to join the team. Responsibilities will include but are not limited to; assistance with rails; brackets; isolators and mounting panels.Also looking for sales person. Job Types: Full-time; Permanent; Subcontract; Apprenticeship Salary: From $300.00 per day Schedule: Flexible hours Monday to Friday Supplemental pay types: Performance bonus
